"BUR24" "BUR6" "BURU" "FB24" "FB6" "FBU" "OVD24" "OVD6" "OVDU" "PO24" "PO6" "POU" "SR24" "SR6" "SRU" "ST24" "ST6" "STU" "WF"
"FBgn0003510" 1.45829043208103 1.34019522846404 1.28089447735952 2.07615075797887 1.74874493896346 1.81309367093027 1.13564262601504 1.40349189529821 1.18947584513008 1.76710730114032 1.82687802370911 1.50532711598381 1.78717979738115 1.14478809855076 1.24987095845073 1.65384729359101 1.62700640126215 1.85508418783788 1.74729399505273
"FBgn0003512" 4.28817633841491 4.75267172010433 4.07697472048402 5.14908090410091 4.87410691929484 5.26277059956866 3.78738938034438 4.30414133014574 3.89355513844829 3.86520426176327 4.13181148168295 3.81225203214257 3.82582771808637 3.9068688297575 3.64571913558052 4.15062761016017 4.47776727219339 4.26103757497699 5.5025826868471
"FBgn0003514" 7.61376418811417 8.11327159637434 7.13268908649119 4.85966709193122 5.06179279264574 5.28543269039633 7.42629281224008 7.83907152423966 6.83309341440048 7.74049721912062 7.5809245106381 7.50982412008504 7.47207083667013 7.86833904651559 7.03792876435088 7.54528762122437 7.73201864635613 7.65760851506879 5.75620510196486
"FBgn0003041" 4.46671604968688 4.38360374957116 3.78824837752765 0 0.124870880251941 0.209310628490419 3.47890093859837 2.9708482517484 2.88906524529184 1.905273429251 1.70779168235889 1.10323359786899 4.2365578757876 4.36234588442133 3.89045862633079 2.01117741383868 1.29407563948478 1.42440718789996 5.55604359558028
"FBgn0042627" 0.943947167926508 1.26809824143232 1.00662651437049 5.08341539928333 5.11222186469843 5.77381887216245 0.957581343170854 1.45676541254028 1.40344738715569 2.38070627081719 2.5157415430779 2.52652388483807 1.7576886196856 1.96028675947904 2.07192567171038 1.69088896811047 1.70588411484749 2.04761927278048 5.16369431853161
"FBgn0053460" 0.682678182867007 0.71487760554487 0.876088049383719 5.0569471699946 4.06890544855546 4.9949708759475 1.40398347228838 1.89181965619128 1.15032191901084 1.44946146788784 1.83807156631532 1.57107694906843 4.0550313395997 3.76224557360518 3.83819017747631 1.28307147404618 0.96824486824158 0.987945904968781 0.351011698917547
"FBgn0035293" 9.43159393513584 8.69395356286527 9.811982790585 1.35866478634336 0.914958852545569 2.16351241373235 10.5372188767764 9.40304179913066 10.8622008859113 4.21446349654735 3.90071799983482 4.43309035963152 6.07909975741609 5.13692931305305 6.6526851289282 3.418704119687 2.53613759768681 3.62987493958727 2.62232938508393
"FBgn0035290" 4.78753502210111 3.84780789554017 3.24479669704234 0.230865250371175 0.19273219320138 0.194534334255443 0.291055195670505 0.0636634402766291 0.576758591835918 0.808873873091846 0.252773614368959 0.269325124268846 0.242637344350343 0.228699621927442 0.536518871806952 0.264397474941949 0.0744430487264435 0.22684759686044 1.5231866079463
"FBgn0053468" 4.77898137173206 6.28879813397137 4.04686850846294 3.27300384699543 2.61311976832919 2.22194811767076 3.89810764855508 4.82141617757175 2.38214538130545 1.57852801649208 1.99336360549199 1.50289852961739 4.48185575795245 4.90783646206879 3.59340438545882 2.4964431167996 3.14607189302154 2.28600256217292 0.131716732272433
"FBgn0053469" 2.59516787089625 3.69660151061903 2.05586611737093 3.21126849204128 2.88738975628829 2.2946632416455 1.14212819309644 1.39690418072173 0.374785445906355 1.40314629043977 1.72864310678849 1.63318343678906 2.45286713523678 2.80875612415069 1.91381135284169 1.2327257380537 1.22549814790451 1.02116378866239 0.065988634990495
"FBgn0035294" 3.26675182937782 3.36947763648109 3.30220602881353 2.65836902825646 2.55684538120259 2.6448205385896 3.05142823434121 3.13589357350495 3.09890195838178 3.20151916911899 3.39517036128215 3.17918180087952 3.12782581255855 3.24075763474025 3.24469964720825 3.08550864024049 3.39572405542297 3.29756336686007 4.02735414599781
"FBgn0263087" 0.221863161539893 0.422980414583781 0 3.17288831781465 3.04383386257977 3.77607115696361 0.142602677478702 0.328444510759534 0.593512257318675 0.175193189017063 1.04783855847041 1.04709349889236 0.510082533176565 0.751769971733736 0.309206245407081 0.44662964577249 0.121620193878422 0 0.271214842608947
"FBgn0263083" 3.56791263249278 3.96678406860848 2.98785618200896 10.4185325282696 10.0611073243891 9.75357712402133 3.21374736877513 3.98841697342032 3.13463423150842 4.61790334533416 4.5887481210835 4.40635277909173 4.44424777512908 4.36304178466219 4.17552250778519 3.92109988919803 3.78380186044747 3.95994633988453 2.48297617053246
"FBgn0035204" 4.3505145478056 4.74896410963995 4.62347188430248 5.12367935888129 4.96440075525483 5.0211982253108 3.49143706760593 3.66176182108029 3.63996939589239 3.08189564339681 3.32614381873122 2.97620859012465 4.53653937310186 4.95204281289148 4.36408344081906 3.03170843415378 3.37385109379964 3.23846156208366 4.87502923366482
"FBgn0052594" 3.54024824880142 3.04660162285617 3.79364906860603 0 0.429052395366894 0.534431533789524 4.29213399286135 3.34765679630619 4.15377967333115 3.95602751326016 3.33785323121909 4.01178412585719 4.82061460224522 4.5923017750152 5.0661146795931 2.98845924321853 2.28267047423093 2.81492246528111 1.7256123595957
"FBgn0052590" 2.26299178031834 2.19254219545767 2.13441361640636 1.30277826998773 1.47868885164445 1.81849737406414 2.12155086190219 2.1292046298356 2.02924771544577 1.74932299731215 1.90784256352698 1.69145979362533 2.31640165921637 2.12987661715279 1.92596357885633 1.86044319224161 2.11411892031398 1.62370911587058 1.28819893499719
